iter	Logloss
232	0.2382750543
233	0.2380583507
234	0.237858151
235	0.2376855572
236	0.2373317963
237	0.2367068787
238	0.2366818624
239	0.2360819336
240	0.235673195
241	0.2351876266
242	0.2345141902
243	0.2344489918
244	0.234047101
245	0.2338652194
246	0.2336269344
247	0.232962943
248	0.2329339278
249	0.2326896709
250	0.2324092073
251	0.2316183084
252	0.2314257286
253	0.2313137639
254	0.2309771885
255	0.230859743
256	0.2307205906
257	0.2305316495
258	0.2301674516
259	0.2297033475
260	0.2288712957
261	0.2288256961
262	0.2287736839
263	0.2286884694
264	0.2285263971
265	0.2278816954
266	0.2278249497
267	0.2273507104
268	0.2268369376
269	0.2260616047
270	0.2259730598
271	0.2256988903
272	0.2251080293
273	0.2248185248
274	0.224777425
275	0.2246504829
276	0.223931016
277	0.2233441303
278	0.2233133205
279	0.2226793398
280	0.2226065674
281	0.2225851386
282	0.2224791333
283	0.2223528223
284	0.2219134448
285	0.2218797368
286	0.2212625482
287	0.221187474
288	0.2208042016
289	0.2207371359
290	0.2207044
291	0.2202856274
292	0.2202231571
293	0.2197677728
294	0.2189188977
295	0.2188086466
296	0.2187785068
297	0.2175991506
298	0.2174341332
299	0.217394223
300	0.2170863151
301	0.2167390284
302	0.2158712472
303	0.2158452007
304	0.2155012054
305	0.2151840593
306	0.2147629874
307	0.2141125155
308	0.2140516878
309	0.2137392279
310	0.2137205694
311	0.2136596695
312	0.2135250405
313	0.2131890057
314	0.2119681261
315	0.2115302707
316	0.2114922831
317	0.2114643733
318	0.2111275078
319	0.2107619559
320	0.210396892
321	0.2103564091
322	0.2102781251
323	0.210205491
324	0.210157833
325	0.2101169206
326	0.2091447714
327	0.2091214284
328	0.2085218083
329	0.2080950426
330	0.2077245198
331	0.2068528938
332	0.2066250612
333	0.2065291164
334	0.2054620047
335	0.2054396178
336	0.2054141614
337	0.204858958
338	0.2047817191
339	0.2046874364
340	0.2039162077
341	0.2029550903
342	0.2029075085
343	0.2028730862
344	0.2028546819
345	0.2019949574
346	0.2019699324
347	0.201242507
348	0.2010345306
349	0.20024892
350	0.2002230211
351	0.1998774799
352	0.1991552298
353	0.1987536495
354	0.1979526768
355	0.1976427595
356	0.1975526956
357	0.1974662229
358	0.196844097
359	0.1961910092
360	0.1961442501
361	0.1958253019
362	0.1957972239
363	0.1957195827
364	0.1950910015
365	0.1950571029
366	0.195018062
367	0.1940835448
368	0.1934313523
369	0.1933460024
370	0.1930563113
371	0.1927650058
372	0.1922661727
373	0.1919944719
374	0.1911434989
375	0.1910987505
376	0.1905684541
377	0.1901724815
378	0.1901511496
379	0.1896749577
380	0.1893368738
381	0.1886591608
382	0.1886249513
383	0.1886045108
384	0.1876362532
385	0.1875967026
386	0.1873086553
387	0.1866463973
388	0.1862114322
389	0.1857297593
390	0.1853856634
391	0.18521805
392	0.1849237415
393	0.1849065004
394	0.1843095104
395	0.1842674188
396	0.1841845019
397	0.1836039552
398	0.1835889111
399	0.1833340793
400	0.1829649136
401	0.1829461318
402	0.182185765
403	0.1819323928
404	0.181591172
405	0.181011525
406	0.1804132495
407	0.1803798008
408	0.1798406635
409	0.1791646478
410	0.1791356293
411	0.1791038038
412	0.1788462528
413	0.178777064
414	0.1784548673
415	0.1780865744
416	0.1776856771
417	0.177362739
418	0.1772945225
419	0.1772469407
420	0.1769074416
421	0.1768718773
422	0.1768455405
423	0.1762725059
424	0.1756027841
425	0.1751982801
426	0.1751808152
427	0.1746185955
428	0.1745461553
429	0.1740372521
430	0.1739781674
431	0.1734194768
432	0.1728928655
433	0.1724666736
434	0.1724098966
435	0.1723323268
436	0.1718770927
437	0.1713992748
438	0.1713816739
439	0.1713063512
440	0.1710095599
441	0.1709823084
442	0.1709236567
443	0.1708529029
444	0.1704148255
445	0.1700900328
446	0.169816297
447	0.1697957367
448	0.1697761978
449	0.1693008258
450	0.1687283755
451	0.1680313915
452	0.16757802
453	0.1674216935
454	0.1667950927
455	0.1663394841
456	0.1658709291
457	0.1658381595
458	0.1653094417
459	0.1648996794
460	0.1648704244
461	0.164840374
462	0.164193478
463	0.1641489951
464	0.1636828729
465	0.1636709282
466	0.1633109742
467	0.163263834
468	0.1632164177
469	0.1631551697
470	0.1627709311
471	0.1627232897
472	0.1622241752
473	0.161732028
474	0.1613464822
475	0.1613261815
476	0.1609047733
477	0.1605966163
478	0.16019327
479	0.1598552808
480	0.159685317
481	0.1592242729
482	0.1590441408
483	0.1586209781
484	0.1581552155
485	0.1577776583
486	0.1573435189
487	0.1571433316
488	0.1567423406
489	0.1563451291
490	0.1559286365
491	0.1555772188
492	0.1550372169
493	0.1545225554
494	0.1543577549
495	0.1541644443
496	0.1541424608
497	0.1539802641
498	0.1536233101
499	0.1530906839
