iter	Logloss
0	0.6723836556
1	0.6524699576
2	0.6343857628
3	0.6199323926
4	0.6051098655
5	0.5920521508
6	0.5786122948
7	0.5656187022
8	0.553564635
9	0.5412504203
10	0.5309533204
11	0.5217796934
12	0.512628868
13	0.5039865342
14	0.495379802
15	0.4878356608
16	0.4796713635
17	0.4711952345
18	0.4647479508
19	0.4587003581
20	0.4509751139
21	0.4464052617
22	0.4400328048
23	0.4346699942
24	0.4308755101
25	0.4260779317
26	0.4220994602
27	0.4178152651
28	0.4146097893
29	0.4115179311
30	0.4078165932
31	0.4049031977
32	0.4015282064
33	0.3979533809
34	0.3951440146
35	0.3915353459
36	0.3888634336
37	0.3860612989
38	0.3825929213
39	0.3793284223
40	0.3775871477
41	0.3755896146
42	0.3739623833
43	0.3720003926
44	0.3699887437
45	0.3675176145
46	0.3652658319
47	0.3629767203
48	0.3611928153
49	0.3597632239
50	0.3583533543
51	0.3572569366
52	0.3557403563
53	0.3541881173
54	0.3527794225
55	0.3516533991
56	0.350122399
57	0.3488342059
58	0.3474497813
59	0.3460210367
60	0.3449014197
61	0.3435316725
62	0.3417628565
63	0.3407779772
64	0.3395036147
65	0.3379049193
66	0.3368900913
67	0.3354533637
68	0.3342927054
69	0.3332006397
70	0.332399715
71	0.331419498
72	0.3305609509
73	0.3292469078
74	0.3284047943
75	0.3276231578
76	0.3268666194
77	0.3258730384
78	0.3248186589
79	0.3242478374
80	0.3235162627
81	0.3224348564
82	0.3218717443
83	0.320783536
84	0.3200934891
85	0.3189972102
86	0.3180990955
87	0.3170750479
88	0.3162943492
89	0.3145871699
90	0.3140273894
91	0.3127640091
92	0.3119358995
93	0.3114056422
94	0.3103939909
95	0.3096389111
96	0.3087046435
97	0.3077677921
98	0.3064637542
99	0.3058345724
100	0.3048510097
101	0.3041260216
102	0.3032027
103	0.3023874793
104	0.3014304589
105	0.3008472677
106	0.2999865635
107	0.2994537141
108	0.299181162
109	0.2985620231
110	0.2982048247
111	0.2978148207
112	0.2971651907
113	0.2966149323
114	0.2963388308
115	0.2957657112
116	0.2949631944
117	0.2945881855
118	0.2945484625
119	0.2938645542
120	0.2933059182
121	0.2926572418
122	0.2917078833
123	0.2909468514
124	0.2901903948
125	0.2889848037
126	0.2887826376
127	0.2877841554
128	0.2872049336
129	0.286983634
130	0.2865226599
131	0.2858326148
132	0.2852896009
133	0.2846682726
134	0.2834467175
135	0.2832044535
136	0.2826135473
137	0.2817319998
138	0.281291509
139	0.2809856628
140	0.2795080844
141	0.2786678751
142	0.2781739022
143	0.2773956434
144	0.2769510637
145	0.2765585774
146	0.2759637707
147	0.2757579137
148	0.2748631627
149	0.2746412405
150	0.2743974216
151	0.2739523502
152	0.27391159
153	0.2733073611
154	0.2729011763
155	0.2725726664
156	0.2716599408
157	0.2709154564
158	0.2703572141
159	0.2699803914
160	0.2692513203
161	0.2685135796
162	0.2680160015
163	0.267389422
164	0.2671300322
165	0.2666691925
166	0.2661636705
167	0.2654924434
168	0.2644950235
169	0.2639107752
170	0.2637041544
171	0.2633318999
172	0.2630434095
173	0.2628472724
174	0.2622551085
175	0.2616828836
176	0.2612154231
177	0.2610099318
178	0.2607657791
179	0.2602531501
180	0.2597077325
181	0.2590308548
182	0.25896385
183	0.2585153077
184	0.2581153118
185	0.2575034664
186	0.2573409783
187	0.2569382498
188	0.2566818304
189	0.2565747155
190	0.2558591467
191	0.2557062767
192	0.255176679
193	0.2549461078
194	0.2545496085
195	0.254449659
196	0.2539565719
197	0.253515738
198	0.252857711
199	0.2527119459
200	0.2524574553
201	0.2521934474
202	0.2519337048
203	0.2514643933
204	0.2505420408
205	0.2500338004
206	0.249643204
207	0.2493316769
208	0.2485574738
209	0.2482976722
210	0.2480526977
211	0.2479332175
212	0.2478488787
213	0.2477851952
214	0.2474629861
215	0.2468385869
216	0.2463569169
217	0.2456615979
218	0.2455609602
219	0.2451596635
220	0.2447361323
221	0.2445202521
222	0.2436448519
223	0.2429504016
224	0.2423760767
225	0.2412100136
226	0.2409422637
227	0.2403515067
228	0.2401260028
229	0.2397871858
230	0.2393438506
231	0.2388165336
